start station name,start station latitude,start station longitude,count_s20
Degraw St & Smith St,40.6829151,-73.99318208,753
Delancey St & Eldridge St,40.719383,-73.991479,1654
Devoe St & Lorimer St,40.71335226,-73.94910336,1234
Devoe St & Morgan Ave,40.713811,-73.93515,375
Ditmars Blvd & 19 St,40.78145,-73.9183302,1926
Division Ave & Hooper St,40.70684203,-73.9544354,811
Division Ave & Marcy Ave,40.70708701,-73.95796783,342
Division St & Bowery,40.714193,-73.996732,1441
Dock 72 Way & Market St,40.69985,-73.97141,267
Douglass St & 3 Ave,40.6802133,-73.98432695,472
Douglass St & 4 Ave,40.6792788,-73.98154004,614
Driggs Ave & Lorimer St,40.72179134,-73.9504154,1548
Driggs Ave & N 9 St,40.71816969,-73.95520136,1699
Driggs Ave & N Henry St,40.72325,-73.94308,1036
Duane St & Greenwich St,40.71748752,-74.0104554,1307
Duffield St & Willoughby St,40.69221589,-73.9842844,1506
Dwight St & Van Dyke St,40.67363551,-74.01195556,505
E 10 St & 5 Ave,40.73331967,-73.99510132,2323
E 10 St & Avenue A,40.72740794,-73.98142006,4174
E 10 St & Avenue A,40.728,-73.98,2
E 102 St & 1 Ave,40.7869946,-73.94164802,2700
E 102 St & Park Ave,40.7904828,-73.95033068,896
E 103 St & Lexington Ave,40.7903051,-73.94755757,1067
E 106 St & 1 Ave,40.7892529,-73.93956237,1028
E 106 St & Lexington Ave,40.791976,-73.945993,906
E 106 St & Madison Ave,40.7934337,-73.94945003,1073
E 109 St & 3 Ave,40.79329668,-73.9432083,950
E 11 St & 1 Ave,40.72953837,-73.98426726,3336
E 11 St & 2 Ave,40.73047309,-73.98672378,3996
E 11 St & Avenue B,40.72746421,-73.97950418,2426
E 110 St & Madison Ave,40.7961535,-73.94782145,2010
E 110 St & Madison Ave,40.797,-73.947,2
E 114 St & 1 Ave,40.7945663,-73.9362541,960
E 115 St & Lexington Ave,40.797911,-73.9423,1033
E 115 St & Madison Ave,40.7989445,-73.944846,703
E 116 St & 2 Ave,40.796879,-73.937261,711
E 118 St & 1 Ave,40.79747,-73.93504,741
E 118 St & 3 Ave,40.799139,-73.9389152,1189
E 118 St & Madison Ave,40.8014866,-73.9442507,600
E 118 St & Park Ave,40.8005385,-73.9419949,572
E 12 St & 3 Ave,40.73223272,-73.98889957,2460
E 12 St & Ave C,40.727243,-73.976831,1636
E 123 St & Lexington Ave,40.8029263,-73.9379,577
E 128 St & 3 Ave,40.805631,-73.934077,116
E 128 St & Madison Ave,40.80756,-73.939182,444
E 13 St & Avenue A,40.72966729,-73.98067966,5338
E 13 St & Avenue A,40.731,-73.98,1
E 132 St & Madison Ave,40.810224,-73.937195,357
E 133 St & Cypress Pl,40.80262,-73.9174,35
E 134 St & Walnut Ave,40.800425,-73.911034,11
E 135 St & St Ann's Ave,40.805089,-73.918889,78
E 138 St & 5 Av,40.81449,-73.936153,439
E 138 St & Grand Concourse,40.813224,-73.930605,45
E 138 St & Willow Ave,40.804168,-73.911545,14
E 144 St & Brook Ave,40.811675,-73.917037,1
E 149 St & Morris Ave,40.81734,-73.922962,816
E 15 St & 3 Ave,40.734232,-73.986923,3241
E 16 St & 5 Ave,40.73726186,-73.99238967,2261
E 16 St & Irving Pl,40.73536706,-73.98797393,1389
E 17 St & Broadway,40.73704984,-73.99009296,6035
E 19 St & 3 Ave,40.73624527,-73.98473765,2217
E 2 St & 2 Ave,40.72502876,-73.99069656,2513
E 2 St & Avenue A,40.722,-73.986,1
E 2 St & Avenue A,40.72307749,-73.98583621,3107
E 2 St & Avenue B,40.72217444,-73.98368779,2953
E 2 St & Avenue C,40.7208736,-73.98085795,2234
E 20 St & 2 Ave,40.73587678,-73.98205027,3737
E 20 St & FDR Drive,40.73314259,-73.97573881,2734
E 20 St & Park Ave,40.73827428,-73.98751968,2178
E 23 St & 1 Ave,40.736502,-73.97809472,3623
E 24 St & Park Ave S,40.74096374,-73.98602213,2918
E 25 St & 1 Ave,40.7381765,-73.97738662,2088
E 25 St & 2 Ave,40.73912601,-73.97973776,4605
E 27 St & 1 Ave,40.739445,-73.976806,3718
E 30 St & Park Ave S,40.74444921,-73.98303529,2511
E 31 St & 3 Ave,40.74394314,-73.97966069,4326
E 32 St & Park Ave,40.7457121,-73.98194829,3042
E 33 St & 1 Ave,40.743,-73.974,1
E 33 St & 1 Ave,40.74322681,-73.97449784,5746
E 33 St & 5 Ave,40.74765947,-73.98490707,2342
E 39 St & 2 Ave,40.74780373,-73.9734419,4256
E 39 St & 3 Ave,40.7489006,-73.97604882,2760
E 4 St & 2 Ave,40.7262807,-73.98978041,3062
E 41 St & Madison Ave,40.75216528,-73.97992194,1484
E 43 St & 2 Ave,40.75022392,-73.97121414,2086
E 43 St & 5 Ave,40.75412081,-73.98025185,889
E 45 St & 3 Ave,40.75255434,-73.97282625,1964
E 47 St & 1 Ave,40.75206862,-73.96784384,1662
E 47 St & 2 Ave,40.75323098,-73.97032517,1948
E 47 St & Park Ave,40.75510267,-73.97498696,1425
E 48 St & 3 Ave,40.7546011,-73.97187886,1321
E 48 St & 5 Ave,40.75724568,-73.97805914,1554
E 5 St & Avenue C,40.72299208,-73.97995466,1570
E 51 St & 1 Ave,40.75455731,-73.96592976,2395
E 51 St & 2 Ave,40.755293,-73.967641,2417
E 51 St & Lexington Ave,40.75714758,-73.97207836,1242
E 53 St & Lexington Ave,40.75828065,-73.97069431,1211
E 53 St & Madison Ave,40.7597108,-73.97402311,1278
E 55 St & 2 Ave,40.75797322,-73.96603308,3375
E 56 St & 3 Ave,40.75934501,-73.96759673,1567
E 56 St & Madison Ave,40.761573,-73.972628,951
E 58 St &  1 Ave (NW Corner),40.759125,-73.962658,2470
E 58 St & 1 Ave (NE Corner),40.75892386,-73.96226227,1222
E 58 St & 3 Ave,40.76095756,-73.96724467,3290
E 58 St & Madison Ave,40.76302594,-73.97209525,1149
E 59 St & Madison Ave,40.76350532,-73.97109243,1421
E 6 St & Avenue B,40.72453734,-73.98185424,2998
E 6 St & Avenue D,40.72228087,-73.97668709,3476
E 60 St & York Ave,40.758,-73.959,1
E 60 St & York Ave,40.759107,-73.959223,1444
E 63 St & 3 Ave,40.763954,-73.9646,1457
E 65 St & 2 Ave,40.76471852,-73.9622207,1656
E 66 St & Madison Ave,40.76800889,-73.96845281,1441
E 67 St & Park Ave,40.7678008,-73.96592081,734
E 68 St & 3 Ave,40.7671284,-73.96224618,1274
E 68 St & Madison Ave,40.7691572,-73.96703464,1216
E 7 St & Avenue A,40.72621788,-73.98379855,3689
E 72 St & Park Ave,40.77118288,-73.96409422,1424
E 72 St & York Ave,40.76663814,-73.95348296,3119
E 74 St & 1 Ave,40.7689738,-73.95482273,2543
E 75 St & 3 Ave,40.77112927,-73.95772297,1394
E 76 St & Park Ave,40.773763,-73.96222088,1370
E 77 St & 3 Ave,40.77314236,-73.95856158,1580
E 78 St & 2 Ave,40.7727966,-73.95577801,1512
E 81 St & 2 Ave,40.77477945,-73.95427465,2091
E 81 St & 3 Ave,40.77573034,-73.9567526,1434
E 81 St & Park Ave,40.77677702,-73.9590097,781
E 81 St & York Ave,40.7728384,-73.94989233,2198
E 82 St & East End Ave,40.7724607,-73.9468208,1770
E 84 St & 1 Ave,40.77565541,-73.95068615,2930
E 84 St & Park Ave,40.77862688,-73.95772073,1410
E 85 St & 3 Ave,40.77801203,-73.95407149,3612
E 85 St & York Ave,40.77536905,-73.94803392,1515
E 88 St & 1 Ave,40.778301,-73.9488134,2723
E 88 St & Park Ave,40.7814107,-73.95595908,1249
E 89 St & 3 Ave,40.7806284,-73.9521667,1966
E 89 St & York Ave,40.7779453,-73.946041,1556
E 9 St & Avenue C,40.72521311,-73.97768752,2141
E 91 St & 2 Ave,40.7811223,-73.94965589,2725
E 91 St & Park Ave,40.7835016,-73.955327,989
E 93 St & 2 Ave,40.78245418,-73.94891962,1166
E 95 St & 3 Ave,40.7849032,-73.950503,1103
E 97 St & 3 Ave,40.7859201,-73.94860294,755
E 97 St & Madison Ave,40.787801,-73.953559,2457
E 98 St & Park Ave,40.78813,-73.95206,739
East End Ave & E 86 St,40.77518615,-73.94446054,1808
Eastern Pkwy & Franklin Ave,40.6707767,-73.9576801,1634
Eastern Pkwy & Washington Ave,40.6716493,-73.9631145,1182
Eldert St & Bushwick Ave,40.68652,-73.91321,245
Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,1018
Engert Ave & McGuinness Blvd,40.72158,-73.94546,403
Evergreen Ave & Noll St,40.70106,-73.93318,586
FDR Drive & E 35 St,40.744219,-73.97121214,5742
Fairview Ave & Linden St,40.70694,-73.90632,155
Flushing Ave & Vanderbilt Ave,40.69795032,-73.9707756,1197
Flushing Ave & Woodward Ave,40.71246,-73.91873,366
Forest Ave & Summerfield St,40.69922,-73.89795,504
Forsyth St & Broome St,40.71893904,-73.99266288,2042
Forsyth St & Canal St,40.7158155,-73.99422366,3900
Franklin Ave & Empire Blvd,40.66314,-73.9605695,3767
Franklin Ave & Myrtle Ave,40.69454609,-73.95801365,714
Franklin Ave & St Marks Ave,40.6758324,-73.9561677,903
Franklin St & Dupont St,40.73564,-73.95866,1812
Franklin St & W Broadway,40.71911552,-74.00666661,1270
Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,2163
Frederick Douglass Blvd & W 115 St,40.8038654,-73.9559308,1730
Frederick Douglass Blvd & W 117 St,40.805159,-73.954692,2262
Frederick Douglass Blvd & W 129 St,40.8125511,-73.9492286,1398
Front St & Gold St,40.70224,-73.982578,881
Front St & Jay St,40.702461,-73.986842,1687
Front St & Maiden Ln,40.70530954,-74.00612572,1488
Front St & Washington St,40.70255088,-73.98940236,2884
Frost St & Debevoise Ave,40.71882,-73.93948,108
Frost St & Meeker Ave,40.71766197,-73.94880027,570
Fulton St & Adams St,40.69241829,-73.98949474,1640
Fulton St & Broadway,40.711066,-74.009447,2068
Fulton St & Clermont Ave,40.68415748,-73.96922273,843
Fulton St & Irving Pl,40.68186,-73.959432,731
Fulton St & Utica Ave,40.6794268,-73.9298911,1339
Fulton St & Waverly Ave,40.68323865,-73.96599591,1344
Fulton St & William St,40.70955958,-74.00653609,1782
Gansevoort St & Hudson St,40.7394482,-74.00507033,2424
Garfield Pl & 8 Ave,40.6711978,-73.97484126,900
George St & Wilson Ave,40.702997,-73.92997,636
Graham Ave & Conselyea St,40.715143,-73.944507,1405
Graham Ave & Grand St,40.711863,-73.944024,1539
