start_station_name,start_lat,start_lng,count_s21
Allen St & Hester St,40.716059,-73.991908,50
Allen St & Rivington St,40.720195,-73.989978,6244
Allen St & Rivington St,40.720196,-73.989978,81
Allen St & Stanton St,40.722055,-73.989111,5772
Amsterdam Ave & W 119 St,40.808624,-73.959621,1069
Amsterdam Ave & W 119 St,40.808625,-73.959621,11
Amsterdam Ave & W 125 St,40.813358,-73.956461,1316
Amsterdam Ave & W 131 St,40.816355,-73.954295,355
Amsterdam Ave & W 136 St,40.819746,-73.951819,686
Amsterdam Ave & W 152 St,40.829523,-73.944279,408
Amsterdam Ave & W 156 St,40.832081,-73.942386,421
Amsterdam Ave & W 162 St,40.83618,-73.939789,402
Amsterdam Ave & W 167 St,40.839443,-73.937044,378
Amsterdam Ave & W 172 St,40.842173,-73.935111,329
Amsterdam Ave & W 175 St,40.844044,-73.933651,454
Amsterdam Ave & W 180 St,40.847396,-73.931205,388
Amsterdam Ave & W 183 St,40.84925,-73.93022,317
Amsterdam Ave & W 189 St,40.853142,-73.927094,270
Amsterdam Ave & W 66 St,40.774667,-73.984706,28
Amsterdam Ave & W 66 St,40.774667,-73.984705,2330
Amsterdam Ave & W 73 St,40.779668,-73.98093,6773
Amsterdam Ave & W 79 St,40.782939,-73.978652,59
Amsterdam Ave & W 79 St,40.782939,-73.978651,5422
Amsterdam Ave & W 82 St,40.785246,-73.976673,4360
Amsterdam Ave & W 82 St,40.785247,-73.976673,48
Anderson Ave & W 164 St,40.832057,-73.927421,110
Andrew Ave N & Hall of Fame Tce,40.85834,-73.91008,80
Andrews Ave S & W 179 St,40.855156,-73.91278,76
Anthony Ave & E 175 St,40.846465,-73.903869,154
Anthony Ave & E Tremont Ave,40.848793,-73.903178,277
Astoria Park S & Shore Blvd,40.7767,-73.927631,1742
Atlantic Ave & Fort Greene Pl,40.683826,-73.976323,2480
Atlantic Ave & Furman St,40.691651,-73.999978,4502
Atlantic Ave & Furman St,40.691652,-73.999979,155
Audobon Ave & W 179 St,40.847305,-73.933291,213
Audubon Ave & Fort George Ave,40.857157,-73.927173,144
Audubon Ave & Fort George Ave,40.857158,-73.927174,1
Audubon Ave & W 192 St,40.85564,-73.927128,181
Ave D & E 8 St,40.723683,-73.975748,1470
Ave D & E 8 St,40.723684,-73.975748,4
Avenue C & E 18 St,40.730563,-73.973984,2073
Avenue D & E 10 St,40.725065,-73.975158,2368
Avenue D & E 10 St,40.725066,-73.975158,35
Avenue D & E 3 St,40.720828,-73.977932,37
